Opened PDF: d:\coreminds\parsing\pdf-parser-python\uploads\c1f6f5ec-a39d-4a08-a68b-94274cba938c_PL-300-khhiih.pdf
Pages: 528

--- Page 4 ---
  get_images(full=True) count: 1051
    Image 1: xref=1075, w=14, h=16, ext=jpeg, size=7888 bytes
    Image 2: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 3: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 4: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 5: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 6: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 7: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 8: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 9: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 10: xref=1275, w=1009, h=212, ext=jpeg, size=18039 bytes
    Image 11: xref=1276, w=709, h=284, ext=jpeg, size=22226 bytes
    Image 12: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 13: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 14: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 15: xref=1280, w=774, h=481, ext=jpeg, size=22584 bytes
    Image 16: xref=1281, w=901, h=178, ext=jpeg, size=11183 bytes
    Image 17: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 18: xref=1283, w=658, h=227, ext=jpeg, size=17908 bytes
    Image 19: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 20: xref=1095, w=878, h=232, ext=jpeg, size=8826 bytes
    Image 21: xref=1096, w=453, h=147, ext=jpeg, size=5155 bytes
    Image 22: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 23: xref=1285, w=337, h=386, ext=png, size=5058 bytes
    Image 24: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 25: xref=1287, w=999, h=257, ext=jpeg, size=25076 bytes
    Image 26: xref=1288, w=1222, h=278, ext=jpeg, size=26628 bytes
    Image 27: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 28: xref=1290, w=326, h=195, ext=jpeg, size=11029 bytes
    Image 29: xref=1291, w=680, h=272, ext=jpeg, size=18681 bytes
    Image 30: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 31: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 32: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 33: xref=1295, w=683, h=761, ext=jpeg, size=50113 bytes
    Image 34: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 35: xref=1297, w=896, h=259, ext=jpeg, size=11747 bytes
    Image 36: xref=1298, w=482, h=284, ext=png, size=8544 bytes
    Image 37: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 38: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 39: xref=1301, w=409, h=115, ext=jpeg, size=4975 bytes
    Image 40: xref=1302, w=392, h=173, ext=jpeg, size=5898 bytes
    Image 41: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 42: xref=1304, w=716, h=279, ext=jpeg, size=19206 bytes
    Image 43: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 44: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 45: xref=1306, w=982, h=370, ext=jpeg, size=30712 bytes
    Image 46: xref=1307, w=455, h=159, ext=jpeg, size=12160 bytes
    Image 47: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 48: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 49: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 50: xref=1311, w=432, h=219, ext=png, size=4684 bytes
    Image 51: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 52: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 53: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 54: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 55: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 56: xref=1317, w=666, h=474, ext=png, size=16537 bytes
    Image 57: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 58: xref=1319, w=724, h=258, ext=jpeg, size=19725 bytes
    Image 59: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 60: xref=1099, w=843, h=195, ext=jpeg, size=9763 bytes
    Image 61: xref=1100, w=843, h=195, ext=jpeg, size=9856 bytes
    Image 62: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 63: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 64: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 65: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 66: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 67: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 68: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 69: xref=1327, w=697, h=155, ext=jpeg, size=13694 bytes
    Image 70: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 71: xref=1329, w=897, h=519, ext=png, size=18227 bytes
    Image 72: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 73: xref=1331, w=380, h=224, ext=jpeg, size=15066 bytes
    Image 74: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 75: xref=1333, w=383, h=190, ext=png, size=5144 bytes
    Image 76: xref=1334, w=390, h=190, ext=jpeg, size=9312 bytes
    Image 77: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 78: xref=1102, w=581, h=115, ext=jpeg, size=10273 bytes
    Image 79: xref=1103, w=682, h=226, ext=jpeg, size=26653 bytes
    Image 80: xref=1104, w=746, h=307, ext=jpeg, size=25790 bytes
    Image 81: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 82: xref=1336, w=776, h=255, ext=jpeg, size=11136 bytes
    Image 83: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 84: xref=1338, w=594, h=364, ext=png, size=8291 bytes
    Image 85: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 86: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 87: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 88: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 89: xref=1343, w=1031, h=450, ext=jpeg, size=22641 bytes
